objectID,isHighlight,accessionNumber,isPublicDomain,primaryImage,primaryImageSmall,constituents/0,department,objectName,title,culture,period,dynasty,reign,portfolio,artistRole,artistPrefix,artistDisplayName,artistDisplayBio,artistSuffix,artistAlphaSort,artistNationality,artistBeginDate,artistEndDate,objectDate,objectBeginDate,objectEndDate,medium,dimensions,creditLine,geographyType,city,state,county,country,region,subregion,locale,locus,excavation,river,classification,rightsAndReproduction,linkResource,metadataDate,repository,objectURL,tags/0,constituents/0/role,constituents/0/name,constituents/1/role,constituents/1/name,constituents/2/role,constituents/2/name,constituents/3/role,constituents/3/name,tags/1,tags/2,tags/3,tags/4,additionalImages/0,additionalImages/1,additionalImages/2,additionalImages/3,additionalImages/4,additionalImages/5,additionalImages/6,additionalImages/7,additionalImages/8,tags/5,tags/6,tags/7,tags/8,tags/9,tags/10,tags/11,tags/12,tags/13,additionalImages/9,additionalImages/10,additionalImages/11,additionalImages/12,tags/14,tags/15,tags/16,tags/17,constituents/4/role,constituents/4/name,additionalImages/13,additionalImages/14,additionalImages/15,additionalImages/16,additionalImages/17,additionalImages/18,additionalImages/19,additionalImages/20,additionalImages/21,additionalImages/22
626268,false,23.39.9,true,https://images.metmuseum.org/CRDImages/dp/original/DP835606.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP835606.jpg,,Drawings and Prints,Print Ornament & architecture,"Candelabra grotesque with four children with a cat and a dog, from a series of twelve candelabra grotesques",,,,,Twelve candelabra grostesques,Artist,,Giovanni Antonio da Brescia,"Italian, active ca. 1490–ca. 1525",,"Brescia, Giovanni Antonio da",Italian,1490,1525,1490–1515,1490,1515,Engraving,"Sheet: 21 5/8 × 3 5/8 in. (55 × 9.2 cm)
Plate: 21 3/16 × 3 7/16 in. (53.8 × 8.7 cm)","Harris Brisbane Dick Fund, 1923",,,,,,,,,,,,Prints,,,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/626268,Grotesques,Artist,Giovanni Antonio da Brescia,Former Attribution,Giovanni Pietro da Birago,,,,,Children,Cats,Dogs,Candelabra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760641,false,1978.643.58(4),true,https://images.metmuseum.org/CRDImages/dp/original/DP875653.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP875653.jpg,,Drawings and Prints,Print,Broadside with 48 scenes relating to the life of a dog told by himself,,,,,,Publisher,,José María Marés,"Spanish, active ca. 1850–70",,"Marés, José María",,1850,1870,1874,1874,1874,Wood engraving,Sheet: 17 5/16 × 12 5/8 in. (44 × 32 cm),"Max G. Wildnauer Fund, 1978",,,,,,,,,,,,Prints,,,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/760641,Men,Publisher,José María Marés,,,,,,,Women,Cats,Dogs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76442,false,2010.478.1,true,https://images.metmuseum.org/CRDImages/as/original/DP248217.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP248217.jpg,,Asian Art,Brush holder,Brush Holder with Travelers in a Landscape,China,Qing dynasty (1644–1911),,,,,,,,,,,,,late 19th–early 20th century,1867,1933,Bamboo and wood,H. 6 in. (15.2 cm); Diam. 5 3/4 in. (14.6 cm),"Gift of Dr. Sherman Hsiu Huang Wu and Mrs. Julianne Wu, 2010",,,,,,,,,,,,Bamboo,,,2019-03-08T03:00:45.753Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/76442,Trees,,,,,,,,,Men,Women,Cats,Dogs,https://images.metmuseum.org/CRDImages/as/original/DP248221.jpg,https://images.metmuseum.org/CRDImages/as/original/DP248222.jpg,https://images.metmuseum.org/CRDImages/as/original/DP248223.jpg,https://images.metmuseum.org/CRDImages/as/original/DP248224.jpg,,,,,,Donkeys,Ox,,,,,,,,,,,,,,,,,,,,,,,,,,,
191025,false,08.196.198,true,https://images.metmuseum.org/CRDImages/es/original/4777.jpg,https://images.metmuseum.org/CRDImages/es/web-large/4777.jpg,,European Sculpture and Decorative Arts,Tile,Tile,,,,,,,,,,,,,,,ca. 1620–40,1615,1645,Tin-glazed earthenware,"Overall (tile): 5 × 5 in. (12.7 × 12.7 cm);
Overall (whole panel): 31 3/4 × 21 1/2 in. (80.6 × 54.6 cm)","Gift of W. R. Valentiner, 1908",,,,,,,,,,,,Ceramics-Pottery,,,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/191025,Cats,,,,,,,,,Deer,Dogs,Goats,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191031,false,08.196.204,true,https://images.metmuseum.org/CRDImages/es/original/4777.jpg,https://images.metmuseum.org/CRDImages/es/web-large/4777.jpg,,European Sculpture and Decorative Arts,Tile,Tile,,,,,,,,,,,,,,,ca. 1620–40,1615,1645,Tin-glazed earthenware,"Overall (tile): 5 × 5 in. (12.7 × 12.7 cm);
Overall (whole panel): 31 3/4 × 21 1/2 in. (80.6 × 54.6 cm)","Gift of W. R. Valentiner, 1908",,,,,,,,,,,,Ceramics-Pottery,,,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/191031,Cats,,,,,,,,,Deer,Dogs,Goats,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191027,false,08.196.200,true,https://images.metmuseum.org/CRDImages/es/original/4777.jpg,https://images.metmuseum.org/CRDImages/es/web-large/4777.jpg,,European Sculpture and Decorative Arts,Tile,Tile,,,,,,,,,,,,,,,ca. 1620–40,1615,1645,Tin-glazed earthenware,"Overall (tile): 5 × 5 in. (12.7 × 12.7 cm);
Overall (whole panel): 31 3/4 × 21 1/2 in. (80.6 × 54.6 cm)","Gift of W. R. Valentiner, 1908",,,,,,,,,,,,Ceramics-Pottery,,,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/191027,Cats,,,,,,,,,Deer,Dogs,Goats,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191028,false,08.196.201,true,https://images.metmuseum.org/CRDImages/es/original/4777.jpg,https://images.metmuseum.org/CRDImages/es/web-large/4777.jpg,,European Sculpture and Decorative Arts,Tile,Tile,,,,,,,,,,,,,,,ca. 1620–40,1615,1645,Tin-glazed earthenware,"Overal (tile): 5 × 5 in. (12.7 × 12.7 cm);
Overall (whole panel): 31 3/4 × 21 1/4 in. (80.6 × 54 cm)","Gift of W. R. Valentiner, 1908",,,,,,,,,,,,Ceramics-Pottery,,,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/191028,Cats,,,,,,,,,Deer,Dogs,Goats,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191024,false,08.196.197,true,https://images.metmuseum.org/CRDImages/es/original/4777.jpg,https://images.metmuseum.org/CRDImages/es/web-large/4777.jpg,,European Sculpture and Decorative Arts,Tile,Tile,,,,,,,,,,,,,,,1640–60,1640,1660,Tin-glazed earthenware,"Overall (tile): 5 × 5 in. (12.7 × 12.7 cm);
Overall (whole panel): 26 1/4 × 21 in. (66.7 × 53.3 cm)","Gift of W. R. Valentiner, 1908",,,,,,,,,,,,Ceramics-Pottery,,,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/191024,Cats,,,,,,,,,Deer,Dogs,Goats,Flowers,https://images.metmuseum.org/CRDImages/es/original/152100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193889,false,17.190.1218,true,https://images.metmuseum.org/CRDImages/es/original/SF17_190_1218.jpg,https://images.metmuseum.org/CRDImages/es/web-large/SF17_190_1218.jpg,,European Sculpture and Decorative Arts,Snuffbox,Snuffbox,,,,,,Maker,,Guillaume Loir,"master 1716, retired 1767",,LOIR GUILLAUME,,1686,1797,1753–54,1753,1754,"Gold, enamel",1 1/2 x 2 3/4 in. (3.8 x 7cm),"Gift of J. Pierpont Morgan, 1917",,,,,,,,,,,,Metalwork-Gold and Platinum,,,2019-05-22T03:00:45.347Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/193889,Men,Maker,Guillaume Loir,,,,,,,Women,Cats,Dogs,Trees,https://images.metmuseum.org/CRDImages/es/original/43541.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187771,false,"94.4.154a, b",true,https://images.metmuseum.org/CRDImages/es/original/7151.jpg,https://images.metmuseum.org/CRDImages/es/web-large/7151.jpg,,European Sculpture and Decorative Arts,Écuelle,Écuelle,,,,,,Factory,,Sèvres Manufactory,"French, 1740–present",,Sèvres Manufactory,French,1740,9999,1776,1776,1776,Soft-paste porcelain,5 × 7 1/2 in. (12.7 × 19.1 cm),"Gift of Henry G. Marquand, 1894",,,,,,,,,,,,Ceramics-Porcelain,,,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/187771,Musical Instruments,Factory,Sèvres Manufactory,Decorator,Figural decoration by François-Joseph Aloncle,Decorator,Gilded by Jean-Pierre Boulanger,,,Birds,Cats,Dogs,,https://images.metmuseum.org/CRDImages/es/original/SF94_4_154_img1.jpg,https://images.metmuseum.org/CRDImages/es/original/SF94_4_154_img2.jpg,https://images.metmuseum.org/CRDImages/es/original/SF94_4_154_img3.jpg,https://images.metmuseum.org/CRDImages/es/original/SF94_4_154_img4.jpg,https://images.metmuseum.org/CRDImages/es/original/SF94_4_154_img5.jpg,https://images.metmuseum.org/CRDImages/es/original/SF94_4_154_img6.jpg,https://images.metmuseum.org/CRDImages/es/original/SF94_4_154_img7.jpg,https://images.metmuseum.org/CRDImages/es/original/SF94_4_154_img8.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14924,false,1994.500.5,true,https://images.metmuseum.org/CRDImages/ad/original/ap1994.500.5.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/ap1994.500.5.jpg,,The American Wing,Drawing,"Illustration to William Cowper's Poem ""The Diverting History of John Gilpin"": The Calenderer of Ware Offers John Gilpin His Hat and Periwig",American,,,,,Artist,,John Whetten Ehninger,"American, New York 1827–1889 Saratoga Springs, New York",,"Ehninger, John Whetten",American,1827,1889,1857,1857,1857,Graphite and gray ink on Bristol board,8 3/8 x 11 1/2 in. (21.3 x 29.2 cm),"Maria DeWitt Jesup Fund, 1994",,,,,,,,,,,,Drawings,,,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/14924,Animals,Artist,John Whetten Ehninger,,,,,,,Horse Riding,Cats,Dogs,Trees,https://images.metmuseum.org/CRDImages/ad/original/259063.jpg,,,,,,,,,Crowd,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347912,false,69.131.4,true,https://images.metmuseum.org/CRDImages/dp/original/DP806020.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP806020.jpg,,Drawings and Prints,Drawing,The Sailor's Return from Active Service,,,,,,Artist,,Thomas Rowlandson,"British, London 1757–1827 London",,"Rowlandson, Thomas",British,1757,1827,1780–1827,1780,1827,Watercolor,Sheet: 6 11/16 x 5 1/4 in. (17 x 13.4 cm),"Bequest of Walter Carlebach, 1969",,,,,,,,,,,,Drawings,,,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/347912,Couples,Artist,Thomas Rowlandson,,,,,,,Men,Lovers,Women,Cats,,,,,,,,,,Dogs,Sailors,,,,,,,,,,,,,,,,,,,,,,,,,,,
350805,false,26.49.55,true,https://images.metmuseum.org/CRDImages/dp/original/DP818225.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP818225.jpg,,Drawings and Prints,Print,The Surgeon,,,,,"Trades 
(Les Métiers)",Artist,,Abraham Bosse,"French, Tours 1602/1604–1676 Paris",,"Bosse, Abraham",French,1602,1676,1632,1632,1632,Etching and engraving; first state of two,"Sheet: 11 1/2 × 14 9/16 in. (29.2 × 37 cm)
Plate: 10 5/16 × 13 1/2 in. (26.2 × 34.3 cm)","Harris Brisbane Dick Fund, 1926",,,,,,,,,,,,Prints,,,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/350805,Interiors,Artist,Abraham Bosse,,,,,,,Men,Women,Cats,Dogs,,,,,,,,,,Doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221583,false,24.221.5,true,https://images.metmuseum.org/CRDImages/es/original/58732.jpg,https://images.metmuseum.org/CRDImages/es/web-large/58732.jpg,,European Sculpture and Decorative Arts,Piece,Piece,,,,,,,,,,,,,,,1820–25,1820,1825,Linen,"L. 26 1/4 x W. 18 1/4 inches
66.7 x 46.4 cm","Rogers Fund, 1924",,,,,,,,,,,,Textiles-Printed,,,2019-04-30T03:00:44.46Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/221583,Boys,,,,,,,,,Girls,Cats,Flowers,Leaves,,,,,,,,,,Dogs,Trees,,,,,,,,,,,,,,,,,,,,,,,,,,,
388970,false,24.63.209,true,https://images.metmuseum.org/CRDImages/dp/original/DP808899.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP808899.jpg,,Drawings and Prints,Print,"A Little Game of Bagatelle, Between Old Abe the Rail Splitter & Little Mac the Gunboat General",,,,,,Artist and publisher,,John L. Magee,"American, active 1844–67",,"Magee, John L.",American,1844,1867,1864,1864,1864,Lithograph,sheet: 12 1/2 x 19 1/8 in. (31.7 x 48.5 cm),"Gift of Georgiana W. Sargent, in memory of John Osborne Sargent, 1924",Published in,Philadelphia,PA,,,,,,,,,Prints,,,2019-02-24T03:00:47.23Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/388970,Politics,Artist and publisher,John L. Magee,,,,,,,Satire,Abraham Lincoln,Men,Cats,,,,,,,,,,Dogs,Rats,Games,,,,,,,,,,,,,,,,,,,,,,,,,,
393506,false,17.50.17-44,true,https://images.metmuseum.org/CRDImages/dp/original/DP816511.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP816511.jpg,,Drawings and Prints,Print,Melencholia,,,,,,Artist,,Giovanni Benedetto Castiglione (Il Grechetto),"Italian, Genoa 1609–1664 Mantua",,"Castiglione, Giovanni Benedetto (Il Grechetto)",Italian,1609,1664,ca. 1645–1646,1640,1650,"Etching, state undetermined, print trimmed on all sides",sheet: 8 3/16 x 4 1/2 in. (20.8 x 11.5 cm),"Purchase, Joseph Pulitzer Bequest, 1917",,,,,,,,,,,,Prints,,,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/393506,Skulls,Artist,Giovanni Benedetto Castiglione (Il Grechetto),,,,,,,Contemplation,Women,Cats,Dogs,,,,,,,,,,Globes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390805,false,51.501.2246,true,https://images.metmuseum.org/CRDImages/dp/original/DP818744.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP818744.jpg,,Drawings and Prints,Print,The Surgeon (La Saignée),,,,,Trades (Les Métiers),Artist,,Abraham Bosse,"French, Tours 1602/1604–1676 Paris",,"Bosse, Abraham",French,1602,1676,1632,1632,1632,Etching and engraving,sheet: 10 1/4 x 13 7/16 in. (26 x 34.2 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1951",,,,,,,,,,,,Prints,,,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/390805,Men,Artist,Abraham Bosse,Publisher,Published by Jean I Leblond,,,,,Women,Cats,Dogs,Doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369751,false,33.72.3,true,https://images.metmuseum.org/CRDImages/dp/original/MM85803.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/MM85803.jpg,,Drawings and Prints,Book,Hearth and Home,,,,,,Publisher,,"Pettengil, Bates & Co.","New York, NY",,"Pettengil, Bates & Co.",American,1800,1900,1868–70,1868,1870,Illustrations: engraving,16 5/16 x 11 1/4 in. (41.5 x 28.5 cm),"Harris Brisbane Dick Fund, 1933",,,,,,,,,,,,Books,,,2019-05-14T03:00:46.757Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/369751,Farms,Publisher,"Pettengil, Bates &amp; Co.",Engraver,Nathaniel Orr,Illustrator,Edwin Austin Forbes,Sitter,Ulysses S. Grant,Houses,Men,Women,Cats,,,,,,,,,,Dogs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403255,false,32.35(20),true,https://images.metmuseum.org/CRDImages/dp/original/DP827037.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP827037.jpg,,Drawings and Prints,Print,The Distrest Poet,,,,,,Artist,,William Hogarth,"British, London 1697–1764 London",,"Hogarth, William",British,1697,1764,"March 3, 1737",1737,1737,Engraving; second state of three,sheet: 13 7/8 x 15 7/8 in. (35.3 x 40.4 cm),"Harris Brisbane Dick Fund, 1932",,,,,,,,,,,,Prints,,,2019-07-24T04:41:20.203Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/403255,Interiors,Artist,William Hogarth,,,,,,,Men,Women,Cats,Dogs,,,,,,,,,,Writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
